id_origin,id_destino,times
"104 / Manhattan/ ""Chelsea - Clinton""",112,12
"104 / Manhattan/ ""Chelsea - Clinton""",413,1
"104 / Manhattan/ ""Chelsea - Clinton""",403,4
"104 / Manhattan/ ""Chelsea - Clinton""",304,2
"104 / Manhattan/ ""Chelsea - Clinton""",202,1
"104 / Manhattan/ ""Chelsea - Clinton""",312,3
"104 / Manhattan/ ""Chelsea - Clinton""",206,1
"104 / Manhattan/ ""Chelsea - Clinton""",311,1
"104 / Manhattan/ ""Chelsea - Clinton""",211,1
"104 / Manhattan/ ""Chelsea - Clinton""",310,4
"104 / Manhattan/ ""Chelsea - Clinton""",308,4
"104 / Manhattan/ ""Chelsea - Clinton""",404,3
"104 / Manhattan/ ""Chelsea - Clinton""",408,1
"104 / Manhattan/ ""Chelsea - Clinton""",212,1
"104 / Manhattan/ ""Chelsea - Clinton""",309,1
"104 / Manhattan/ ""Chelsea - Clinton""",406,1
"104 / Manhattan/ ""Chelsea - Clinton""",405,1
"104 / Manhattan/ ""Chelsea - Clinton""",317,1
"104 / Manhattan/ ""Chelsea - Clinton""",318,1
"104 / Manhattan/ ""Chelsea - Clinton""",209,1
"105 / Manhattan/ ""Midtown - Times Square - Herald Square - Midtown South""",105,462
"105 / Manhattan/ ""Midtown - Times Square - Herald Square - Midtown South""",480,49
"105 / Manhattan/ ""Midtown - Times Square - Herald Square - Midtown South""",104,278
"105 / Manhattan/ ""Midtown - Times Square - Herald Square - Midtown South""",107,80
"105 / Manhattan/ ""Midtown - Times Square - Herald Square - Midtown South""",311,2
"105 / Manhattan/ ""Midtown - Times Square - Herald Square - Midtown South""",101,58
"105 / Manhattan/ ""Midtown - Times Square - Herald Square - Midtown South""",402,18
"105 / Manhattan/ ""Midtown - Times Square - Herald Square - Midtown South""",106,125
"105 / Manhattan/ ""Midtown - Times Square - Herald Square - Midtown South""",102,131
"105 / Manhattan/ ""Midtown - Times Square - Herald Square - Midtown South""",108,129
"105 / Manhattan/ ""Midtown - Times Square - Herald Square - Midtown South""",401,33
"105 / Manhattan/ ""Midtown - Times Square - Herald Square - Midtown South""",410,3
"105 / Manhattan/ ""Midtown - Times Square - Herald Square - Midtown South""",103,51
"105 / Manhattan/ ""Midtown - Times Square - Herald Square - Midtown South""",301,8
"105 / Manhattan/ ""Midtown - Times Square - Herald Square - Midtown South""",411,1
"105 / Manhattan/ ""Midtown - Times Square - Herald Square - Midtown South""",303,7
"105 / Manhattan/ ""Midtown - Times Square - Herald Square - Midtown South""",310,9
"105 / Manhattan/ ""Midtown - Times Square - Herald Square - Midtown South""",306,7
"105 / Manhattan/ ""Midtown - Times Square - Herald Square - Midtown South""",111,26
"105 / Manhattan/ ""Midtown - Times Square - Herald Square - Midtown South""",164,29
"105 / Manhattan/ ""Midtown - Times Square - Herald Square - Midtown South""",109,15
"105 / Manhattan/ ""Midtown - Times Square - Herald Square - Midtown South""",406,3
"105 / Manhattan/ ""Midtown - Times Square - Herald Square - Midtown South""",483,28
"105 / Manhattan/ ""Midtown - Times Square - Herald Square - Midtown South""",312,2
"105 / Manhattan/ ""Midtown - Times Square - Herald Square - Midtown South""",403,11
"105 / Manhattan/ ""Midtown - Times Square - Herald Square - Midtown South""",408,2
"105 / Manhattan/ ""Midtown - Times Square - Herald Square - Midtown South""",112,12
"105 / Manhattan/ ""Midtown - Times Square - Herald Square - Midtown South""",502,1
"105 / Manhattan/ ""Midtown - Times Square - Herald Square - Midtown South""",208,3
"105 / Manhattan/ ""Midtown - Times Square - Herald Square - Midtown South""",110,12
"105 / Manhattan/ ""Midtown - Times Square - Herald Square - Midtown South""",308,4
"105 / Manhattan/ ""Midtown - Times Square - Herald Square - Midtown South""",302,14
"105 / Manhattan/ ""Midtown - Times Square - Herald Square - Midtown South""",204,1
"105 / Manhattan/ ""Midtown - Times Square - Herald Square - Midtown South""",201,4
"105 / Manhattan/ ""Midtown - Times Square - Herald Square - Midtown South""",314,1
"105 / Manhattan/ ""Midtown - Times Square - Herald Square - Midtown South""",226,1
"105 / Manhattan/ ""Midtown - Times Square - Herald Square - Midtown South""",318,1
"105 / Manhattan/ ""Midtown - Times Square - Herald Square - Midtown South""",307,6
"105 / Manhattan/ ""Midtown - Times Square - Herald Square - Midtown South""",409,1
"105 / Manhattan/ ""Midtown - Times Square - Herald Square - Midtown South""",209,1
"105 / Manhattan/ ""Midtown - Times Square - Herald Square - Midtown South""",407,2
"105 / Manhattan/ ""Midtown - Times Square - Herald Square - Midtown South""",315,2
"105 / Manhattan/ ""Midtown - Times Square - Herald Square - Midtown South""",304,2
"105 / Manhattan/ ""Midtown - Times Square - Herald Square - Midtown South""",212,1
"105 / Manhattan/ ""Midtown - Times Square - Herald Square - Midtown South""",404,1
"105 / Manhattan/ ""Midtown - Times Square - Herald Square - Midtown South""",317,1
"105 / Manhattan/ ""Midtown - Times Square - Herald Square - Midtown South""",210,1
"105 / Manhattan/ ""Midtown - Times Square - Herald Square - Midtown South""",309,1
"105 / Manhattan/ ""Midtown - Times Square - Herald Square - Midtown South""",405,1
"106 / Manhattan/ ""Murray Hill - East Midtown - Stuyvesant Town""",104,88
"106 / Manhattan/ ""Murray Hill - East Midtown - Stuyvesant Town""",106,184
"106 / Manhattan/ ""Murray Hill - East Midtown - Stuyvesant Town""",105,223
"106 / Manhattan/ ""Murray Hill - East Midtown - Stuyvesant Town""",111,12
"106 / Manhattan/ ""Murray Hill - East Midtown - Stuyvesant Town""",102,61
"106 / Manhattan/ ""Murray Hill - East Midtown - Stuyvesant Town""",103,47
"106 / Manhattan/ ""Murray Hill - East Midtown - Stuyvesant Town""",301,12
"106 / Manhattan/ ""Murray Hill - East Midtown - Stuyvesant Town""",311,2
"106 / Manhattan/ ""Murray Hill - East Midtown - Stuyvesant Town""",480,28
"106 / Manhattan/ ""Murray Hill - East Midtown - Stuyvesant Town""",302,11
"106 / Manhattan/ ""Murray Hill - East Midtown - Stuyvesant Town""",406,4
"106 / Manhattan/ ""Murray Hill - East Midtown - Stuyvesant Town""",107,42
"106 / Manhattan/ ""Murray Hill - East Midtown - Stuyvesant Town""",307,4
"106 / Manhattan/ ""Murray Hill - East Midtown - Stuyvesant Town""",108,143
"106 / Manhattan/ ""Murray Hill - East Midtown - Stuyvesant Town""",313,1
"106 / Manhattan/ ""Murray Hill - East Midtown - Stuyvesant Town""",402,10
"106 / Manhattan/ ""Murray Hill - East Midtown - Stuyvesant Town""",101,31
"106 / Manhattan/ ""Murray Hill - East Midtown - Stuyvesant Town""",110,3
"106 / Manhattan/ ""Murray Hill - East Midtown - Stuyvesant Town""",404,3
"106 / Manhattan/ ""Murray Hill - East Midtown - Stuyvesant Town""",164,10
"106 / Manhattan/ ""Murray Hill - East Midtown - Stuyvesant Town""",112,7
"106 / Manhattan/ ""Murray Hill - East Midtown - Stuyvesant Town""",401,33
"106 / Manhattan/ ""Murray Hill - East Midtown - Stuyvesant Town""",408,1
"106 / Manhattan/ ""Murray Hill - East Midtown - Stuyvesant Town""",209,3
"106 / Manhattan/ ""Murray Hill - East Midtown - Stuyvesant Town""",483,14
"106 / Manhattan/ ""Murray Hill - East Midtown - Stuyvesant Town""",403,6
"106 / Manhattan/ ""Murray Hill - East Midtown - Stuyvesant Town""",308,5
"106 / Manhattan/ ""Murray Hill - East Midtown - Stuyvesant Town""",405,3
"106 / Manhattan/ ""Murray Hill - East Midtown - Stuyvesant Town""",356,1
"106 / Manhattan/ ""Murray Hill - East Midtown - Stuyvesant Town""",309,3
"106 / Manhattan/ ""Murray Hill - East Midtown - Stuyvesant Town""",303,3
"106 / Manhattan/ ""Murray Hill - East Midtown - Stuyvesant Town""",310,1
"106 / Manhattan/ ""Murray Hill - East Midtown - Stuyvesant Town""",414,1
"106 / Manhattan/ ""Murray Hill - East Midtown - Stuyvesant Town""",210,2
"106 / Manhattan/ ""Murray Hill - East Midtown - Stuyvesant Town""",304,1
"106 / Manhattan/ ""Murray Hill - East Midtown - Stuyvesant Town""",109,1
"106 / Manhattan/ ""Murray Hill - East Midtown - Stuyvesant Town""",503,1
"106 / Manhattan/ ""Murray Hill - East Midtown - Stuyvesant Town""",318,1
"106 / Manhattan/ ""Murray Hill - East Midtown - Stuyvesant Town""",314,1
"106 / Manhattan/ ""Murray Hill - East Midtown - Stuyvesant Town""",409,1
"106 / Manhattan/ ""Murray Hill - East Midtown - Stuyvesant Town""",411,2
"106 / Manhattan/ ""Murray Hill - East Midtown - Stuyvesant Town""",306,1
"107 / Manhattan/ ""Lincoln Square - Upper West Side""",110,21
"107 / Manhattan/ ""Lincoln Square - Upper West Side""",108,119
"107 / Manhattan/ ""Lincoln Square - Upper West Side""",105,123
"107 / Manhattan/ ""Lincoln Square - Upper West Side""",109,32
"107 / Manhattan/ ""Lincoln Square - Upper West Side""",107,292
"107 / Manhattan/ ""Lincoln Square - Upper West Side""",104,81
"107 / Manhattan/ ""Lincoln Square - Upper West Side""",111,31
"107 / Manhattan/ ""Lincoln Square - Upper West Side""",164,35
"107 / Manhattan/ ""Lincoln Square - Upper West Side""",483,8
"107 / Manhattan/ ""Lincoln Square - Upper West Side""",402,4
"107 / Manhattan/ ""Lincoln Square - Upper West Side""",318,1
"107 / Manhattan/ ""Lincoln Square - Upper West Side""",403,3
"107 / Manhattan/ ""Lincoln Square - Upper West Side""",101,7
"107 / Manhattan/ ""Lincoln Square - Upper West Side""",102,13
"107 / Manhattan/ ""Lincoln Square - Upper West Side""",103,10
"107 / Manhattan/ ""Lincoln Square - Upper West Side""",106,20
"107 / Manhattan/ ""Lincoln Square - Upper West Side""",480,13
"107 / Manhattan/ ""Lincoln Square - Upper West Side""",207,2
"107 / Manhattan/ ""Lincoln Square - Upper West Side""",112,11
"107 / Manhattan/ ""Lincoln Square - Upper West Side""",302,3
"107 / Manhattan/ ""Lincoln Square - Upper West Side""",401,4
"107 / Manhattan/ ""Lincoln Square - Upper West Side""",201,1
"107 / Manhattan/ ""Lincoln Square - Upper West Side""",206,1
"107 / Manhattan/ ""Lincoln Square - Upper West Side""",303,1
"107 / Manhattan/ ""Lincoln Square - Upper West Side""",406,1
"107 / Manhattan/ ""Lincoln Square - Upper West Side""",208,2
