Origin,Orig Long,Orig Lat,Dest Long,Dest Lat,Times
Manhattan,-73.984886,40.741982,-73.994911,40.723122,0
Manhattan,-73.962021,40.805344,-73.95295,40.818016,0
Manhattan,-73.997772,40.756634,-73.977409,40.742619,0
Manhattan,-73.999771,40.721893,-73.981308,40.720791,0
Manhattan,-73.982964,40.74432,-73.843781,40.676888,0
Manhattan,-73.972443,40.756451,-73.97702,40.748985,0
Manhattan,-73.987801,40.721195,-73.927078,40.697857,0
Manhattan,-73.989433,40.719017,-74.009163,40.708832,0
Manhattan,-73.986855,40.721001,-73.981049,40.725155,0
Manhattan,-73.987961,40.728695,-73.95665,40.720741,0
Manhattan,-73.993034,40.747444,-73.976883,40.722553,0
Manhattan,-73.986534,40.747066,-73.981087,40.745033,0
Manhattan,-73.996262,40.759922,-73.982346,40.765648,0
Manhattan,-73.98642,40.747166,-74.008133,40.705322,0
Brooklyn,-73.986771,40.674507,-73.950684,40.723576,0
Manhattan,-73.945297,40.783367,-73.945297,40.783367,0
Manhattan,-73.984695,40.732334,-73.983971,40.760571,0
Manhattan,-73.985237,40.719242,-73.917664,40.768799,0
Manhattan,-74.00927,40.712772,-74.000549,40.739807,0
Brooklyn,-73.961502,40.713982,-73.935463,40.705311,0
Manhattan,-73.996246,40.723808,-73.993622,40.672703,0
Manhattan,-73.954185,40.821575,-73.988594,40.663025,0
Manhattan,-73.99054,40.761196,-73.982239,40.774769,0
Manhattan,-74.00325,40.74155,-73.99884,40.739799,0
Manhattan,-73.981491,40.741055,-73.978394,40.728966,0
Manhattan,-74.006226,40.714039,-74.004868,40.707172,0
Brooklyn,-73.978752,40.678902,-73.995827,40.685932,0
Manhattan,-73.993446,40.721489,-73.985611,40.738251,0
Manhattan,-74.008476,40.720203,-74.016418,40.706966,0
Manhattan,-73.972359,40.793816,-73.943939,40.797703,0
Manhattan,-73.966034,40.756313,-73.982979,40.685532,0
Manhattan,-74.007187,40.741405,-73.987915,40.744068,0
Manhattan,-73.990746,40.72438,-74.014145,40.717556,0
Manhattan,-73.988007,40.718781,-73.977165,40.722591,0
Manhattan,-73.987015,40.729069,-73.983719,40.723,0
Manhattan,-73.981972,40.778786,-73.975548,40.79541,0
Brooklyn,-73.981209,40.689205,-74.003906,40.682579,0
Manhattan,-73.998131,40.740452,-73.981209,40.756863,0
Manhattan,-74.004265,40.733383,-74.00547,40.728577,0
Manhattan,-74.000534,40.731518,-73.997368,40.709606,0
Manhattan,-73.999199,40.726509,-73.927689,40.701855,0
Manhattan,-73.987907,40.757191,-73.999435,40.740112,0
Manhattan,-73.98822,40.74966,-73.922974,40.755581,0
Manhattan,-73.973991,40.760601,-73.97834,40.726185,0
Manhattan,-74.004494,40.742031,-74.00415,40.734062,0
Manhattan,-73.984177,40.725204,-73.928574,40.706669,0
Manhattan,-73.990112,40.732014,-74.000038,40.733028,0
Manhattan,-73.999779,40.738579,-73.991806,40.754601,0
Manhattan,-73.988518,40.720043,-73.99025,40.750816,0
Manhattan,-73.978142,40.741543,-73.856682,40.719944,0
Manhattan,-73.999023,40.727737,-74.004326,40.650917,0
Manhattan,-73.995819,40.724506,-73.987892,40.750336,0
Manhattan,-73.978554,40.729706,-73.943314,40.718327,0
Manhattan,-73.988808,40.722042,-73.920624,40.688431,0
Manhattan,-73.997543,40.763805,-73.973373,40.678349,0
Manhattan,-73.973953,40.75742,-73.97467,40.757351,0
Manhattan,-73.982262,40.731098,-73.996513,40.737846,0
Manhattan,-73.971802,40.794418,-73.962631,40.809528,0
Manhattan,-73.996292,40.738121,-73.999718,40.761463,0
Manhattan,-74.005219,40.740604,-73.994621,40.723892,0
