Origin,Orig Long,Orig Lat,Destination,Dest Long,Dest Lat,Times
Manhattan,-73.96151,40.771465,Manhattan,-73.991211,40.739906,0
Manhattan,-74.007858,40.705116,Queens,-73.789879,40.643303,0
Manhattan,-73.995338,40.744701,Manhattan,-73.993591,40.737778,0
Manhattan,-73.989571,40.756386,Manhattan,-73.980858,40.761368,0
Manhattan,-73.99514,40.754845,Manhattan,-74.00518,40.728897,0
Manhattan,-73.993645,40.75573,Manhattan,-73.984528,40.762451,0
Manhattan,-73.999763,40.743454,Manhattan,-73.978607,40.752537,0
Manhattan,-73.999146,40.734352,Manhattan,-73.983322,40.773598,0
Manhattan,-73.990356,40.749485,Manhattan,-73.990852,40.756248,0
Manhattan,-73.982033,40.783218,Manhattan,-73.957726,40.80088,0
Manhattan,-73.964081,40.76532,Manhattan,-73.967987,40.762878,0
Manhattan,-74.00016,40.721786,Manhattan,-74.004173,40.716911,0
Manhattan,-73.977966,40.745564,Manhattan,-73.979599,40.735664,0
Manhattan,-73.98909,40.748367,Manhattan,-73.974983,40.756035,0
Manhattan,-73.975433,40.752464,Manhattan,-73.975189,40.741436,0
Manhattan,-74.003731,40.726925,Manhattan,-73.998352,40.745613,0
Manhattan,-73.978653,40.752361,Manhattan,-73.980858,40.747856,0
Manhattan,-73.977982,40.742004,Manhattan,-73.981308,40.743031,0
Brooklyn,-73.95079,40.714039,Brooklyn,-73.940895,40.721325,0
Brooklyn,-73.995682,40.679161,Manhattan,-73.991219,40.733498,0
Manhattan,-74.010124,40.720692,Manhattan,-73.979279,40.758221,0
Manhattan,-73.99482,40.743816,Manhattan,-73.954865,40.820244,0
Manhattan,-73.954712,40.789288,Manhattan,-73.96611,40.789959,0
Manhattan,-73.955818,40.787796,Manhattan,-73.976006,40.760063,0
Manhattan,-73.959908,40.806396,Manhattan,-73.983292,40.775673,0
Manhattan,-73.971962,40.749996,Brooklyn,-73.949791,40.72604,0
Manhattan,-73.998047,40.74577,Manhattan,-73.990494,40.761196,0
Manhattan,-73.962318,40.77911,Manhattan,-73.981895,40.773785,0
Manhattan,-73.989059,40.750572,Manhattan,-73.973686,40.755997,0
Brooklyn,-73.954796,40.59893,Brooklyn,-73.950531,40.604225,0
Manhattan,-73.97345,40.763561,Manhattan,-74.008682,40.730442,0
Manhattan,-73.980438,40.76128,Manhattan,-73.990608,40.740143,0
Manhattan,-73.97522,40.751698,Manhattan,-73.986893,40.75592,0
Manhattan,-73.966156,40.764412,Manhattan,-73.973183,40.792542,0
Manhattan,-73.957909,40.774628,Manhattan,-73.961441,40.764832,0
Manhattan,-73.996933,40.720055,Brooklyn,-73.993546,40.693043,0
Manhattan,-74.000313,40.730068,Manhattan,-73.987373,40.768406,0
Manhattan,-73.997292,40.720982,Manhattan,-74.000443,40.732376,0
Brooklyn,-73.993134,40.692734,Manhattan,-74.010071,40.720856,0
Manhattan,-73.966843,40.756741,Manhattan,-73.987885,40.722713,0
Manhattan,-73.956451,40.771442,Manhattan,-73.972733,40.74345,0
Manhattan,-74.005455,40.740772,Manhattan,-73.967354,40.798096,0
Manhattan,-73.998657,40.74015,Manhattan,-73.98526,40.763435,0
Manhattan,-73.954376,40.789677,Manhattan,-73.986755,40.757061,0
Manhattan,-73.989914,40.760544,Queens,-73.910805,40.764915,0
Manhattan,-73.963219,40.761696,Manhattan,-73.978546,40.740952,0
Manhattan,-73.984451,40.732834,Brooklyn,-73.976036,40.606304,0
Manhattan,-73.944519,40.809158,Manhattan,-73.952927,40.824116,0
Manhattan,-73.980049,40.735142,Manhattan,-73.975029,40.741756,0
Manhattan,-73.962257,40.760571,Manhattan,-73.973259,40.748432,0
Manhattan,-74.006317,40.733406,Brooklyn,-73.956848,40.710377,0
Manhattan,-73.977806,40.76321,Manhattan,-73.977325,40.784355,0
Manhattan,-74.010414,40.729927,Manhattan,-73.937714,40.850773,0
Manhattan,-73.967133,40.756481,Manhattan,-73.971085,40.751221,0
Manhattan,-74.005142,40.739998,Queens,-73.848808,40.71014,0
Manhattan,-73.94384,40.814938,Manhattan,-73.940895,40.818977,0
Manhattan,-73.998161,40.73542,Queens,-73.920761,40.766708,0
Manhattan,-73.98658,40.766548,Manhattan,-74.004395,40.717068,0
Manhattan,-73.989471,40.720623,Manhattan,-73.964294,40.773182,0
Manhattan,-73.982887,40.744957,Queens,-73.925652,40.764259,0
Manhattan,-73.988449,40.723179,Manhattan,-73.981247,40.765068,0
Manhattan,-73.960197,40.757877,Manhattan,-73.985802,40.767826,0
Manhattan,-74.010147,40.705051,Manhattan,-73.962402,40.770546,0
Brooklyn,-73.956543,40.717155,Queens,-73.845589,40.778648,0
Manhattan,-73.987923,40.72398,Manhattan,-73.945015,40.793419,0
Manhattan,-73.985313,40.762997,Manhattan,-73.950012,40.780502,0
Manhattan,-73.973907,40.74332,Queens,-73.862396,40.767281,0
Manhattan,-73.989761,40.723213,Brooklyn,-74.022575,40.622131,0
Manhattan,-73.98571,40.735306,Manhattan,-73.985527,40.764561,0
Manhattan,-74.009911,40.73558,Manhattan,-73.973106,40.754673,0
Manhattan,-73.987656,40.732533,Manhattan,-73.97554,40.786926,0
Manhattan,-74.00647,40.744583,Queens,-73.839577,40.686108,0
Manhattan,-73.984886,40.741982,Manhattan,-73.994911,40.723122,0
Manhattan,-73.962021,40.805344,Manhattan,-73.95295,40.818016,0
Manhattan,-73.997772,40.756634,Manhattan,-73.977409,40.742619,0
Manhattan,-73.999771,40.721893,Manhattan,-73.981308,40.720791,0
Manhattan,-73.982964,40.74432,Queens,-73.843781,40.676888,0
Manhattan,-73.972443,40.756451,Manhattan,-73.97702,40.748985,0
Manhattan,-73.987801,40.721195,Brooklyn,-73.927078,40.697857,0
