Origin,Dest Long,Dest Lat,Times
Manhattan,-73.994102,40.737404,0
Manhattan,-73.966881,40.769661,0
Manhattan,-73.969261,40.762711,0
Manhattan,-73.991455,40.746525,0
Manhattan,-73.989288,40.739845,0
Manhattan,-74.004868,40.725876,0
Brooklyn,-73.978844,40.670174,0
Manhattan,-73.97258,40.757668,0
Manhattan,-73.949776,40.811939,0
Queens,-73.905411,40.772457,0
Queens,-73.92144,40.755947,0
Manhattan,-73.981133,40.784386,0
Manhattan,-73.99176,40.726768,0
Manhattan,-73.961014,40.760853,0
Manhattan,-73.979858,40.755562,0
Manhattan,-73.98893,40.742077,0
Queens,-73.715225,40.758358,0
Manhattan,-73.95285,40.810856,0
Brooklyn,-73.958305,40.648605,0
Manhattan,-73.985252,40.755203,0
Manhattan,-74.002342,40.76054,0
Manhattan,-73.982735,40.751141,0
Manhattan,-73.977371,40.77943,0
Manhattan,-73.989815,40.762241,0
Manhattan,-73.98201,40.752048,0
Manhattan,-73.978012,40.725163,0
Manhattan,-74.001251,40.726509,0
Manhattan,-73.980515,40.734074,0
Manhattan,-73.992104,40.758026,0
Manhattan,-73.978279,40.741577,0
Manhattan,-73.990562,40.75087,0
Manhattan,-73.988724,40.748306,0
Manhattan,-73.977539,40.745529,0
Manhattan,-73.977692,40.787045,0
Manhattan,-73.954033,40.784386,0
Manhattan,-74.00177,40.719448,0
Manhattan,-73.993164,40.758217,0
Manhattan,-73.94088,40.829475,0
Manhattan,-73.996841,40.76358,0
Manhattan,-73.970642,40.745914,0
Manhattan,-73.985046,40.747898,0
Manhattan,-73.976959,40.787666,0
Manhattan,-73.957001,40.812443,0
Manhattan,-73.998161,40.740742,0
Manhattan,-74.009712,40.747421,0
Manhattan,-74.008698,40.732239,0
Manhattan,-73.972778,40.761185,0
Manhattan,-73.987267,40.733356,0
Manhattan,-73.991562,40.750256,0
Manhattan,-73.97406,40.764008,0
Brooklyn,-73.937187,40.590904,0
Manhattan,-74.010391,40.710129,0
Manhattan,-73.972725,40.756279,0
Manhattan,-73.979408,40.746437,0
Manhattan,-73.98687,40.775871,0
Manhattan,-73.991508,40.761307,0
Manhattan,-74.008362,40.749214,0
Manhattan,-73.952477,40.782322,0
Manhattan,-74.000587,40.75827,0
Manhattan,-73.946869,40.805767,0
Manhattan,-73.97377,40.789406,0
Manhattan,-73.9552,40.768944,0
Manhattan,-73.960258,40.775978,0
Manhattan,-73.936905,40.793652,0
Manhattan,-73.990913,40.750629,0
Manhattan,-73.9888,40.756088,0
Manhattan,-73.985527,40.776604,0
Manhattan,-74.00058,40.731468,0
Manhattan,-73.955421,40.768543,0
Manhattan,-74.010887,40.701862,0
Manhattan,-73.97007,40.799755,0
Manhattan,-73.981384,40.779099,0
Manhattan,-73.997299,40.724789,0
Manhattan,-73.977531,40.786877,0
Manhattan,-73.982262,40.739819,0
Manhattan,-73.978096,40.725101,0
Manhattan,-73.953819,40.775379,0
Manhattan,-73.975136,40.741459,0
Manhattan,-73.998863,40.738163,0
Manhattan,-73.9832,40.785038,0
Manhattan,-73.991158,40.746914,0
Manhattan,-74.00103,40.731556,0
Manhattan,-73.955002,40.768795,0
Manhattan,-73.991997,40.759277,0
Manhattan,-73.970024,40.748631,0
Manhattan,-73.984474,40.724781,0
Manhattan,-73.956543,40.762959,0
Manhattan,-73.994301,40.717033,0
Manhattan,-73.988235,40.723705,0
Bronx,-73.9114,40.848709,0
Manhattan,-73.978867,40.740593,0
Manhattan,-73.975319,40.787308,0
Manhattan,-73.949203,40.785267,0
Manhattan,-74.013779,40.706661,0
Manhattan,-74.017494,40.707012,0
Manhattan,-73.966736,40.804047,0
Manhattan,-73.990829,40.728096,0
Brooklyn,-73.909714,40.696384,0
