id_origin,orig_long,orig_lat,espacio,id_destino,dest_long,dest_lat
101,-73.952995,40.657696,       ,309,-73.952995,40.657696
101,-73.995003,40.720905,       ,102,-73.995003,40.720905
101,-73.993042,40.742558,       ,105,-73.993042,40.742558
101,-73.990814,40.744373,       ,105,-73.990814,40.744373
101,-73.956337,40.675026,       ,308,-73.956337,40.675026
101,-73.972069,40.794788,       ,107,-73.972069,40.794788
101,-73.985046,40.717735,       ,103,-73.985046,40.717735
101,-73.973671,40.74353,       ,106,-73.973671,40.74353
101,-73.973999,40.731499,       ,106,-73.973999,40.731499
101,-73.944092,40.711643,       ,301,-73.944092,40.711643
101,-73.999641,40.762985,       ,104,-73.999641,40.762985
101,-73.966164,40.689705,       ,302,-73.966164,40.689705
101,-73.952278,40.823765,       ,109,-73.952278,40.823765
101,-73.98085,40.725563,       ,103,-73.98085,40.725563
101,-73.985474,40.733479,       ,106,-73.985474,40.733479
101,-73.999451,40.718658,       ,102,-73.999451,40.718658
101,-73.994843,40.750557,       ,104,-73.994843,40.750557
101,-73.979973,40.726734,       ,103,-73.979973,40.726734
101,-73.819092,40.717232,       ,408,-73.819092,40.717232
101,-73.979164,40.787346,       ,107,-73.979164,40.787346
101,-73.954102,40.770386,       ,108,-73.954102,40.770386
101,-74.00592,40.711708,       ,101,-74.00592,40.711708
101,-74.003365,40.649151,       ,307,-74.003365,40.649151
101,-74.00808,40.746666,       ,104,-74.00808,40.746666
101,-73.974167,40.751694,       ,106,-73.974167,40.751694
101,-73.993187,40.752411,       ,105,-73.993187,40.752411
101,-73.999153,40.717316,       ,103,-73.999153,40.717316
101,-74.013832,40.702587,       ,101,-74.013832,40.702587
101,-74.00824,40.748817,       ,104,-74.00824,40.748817
101,-73.953217,40.77972,       ,108,-73.953217,40.77972
101,-73.7855,40.643208,       ,483,-73.7855,40.643208
101,-73.960571,40.761341,       ,108,-73.960571,40.761341
101,-74.000298,40.734676,       ,102,-74.000298,40.734676
101,-73.957176,40.800274,       ,110,-73.957176,40.800274
101,-74.00808,40.746666,       ,104,-74.00808,40.746666
101,-73.987923,40.735355,       ,105,-73.987923,40.735355
101,-74.008286,40.71283,       ,101,-74.008286,40.71283
101,-73.975449,40.792114,       ,107,-73.975449,40.792114
101,-73.974739,40.748562,       ,106,-73.974739,40.748562
101,-74.010788,40.720112,       ,101,-74.010788,40.720112
101,-73.999992,40.741928,       ,104,-73.999992,40.741928
101,-74.008583,40.719055,       ,101,-74.008583,40.719055
101,-73.94445,40.781487,       ,108,-73.94445,40.781487
101,-74.005074,40.756439,       ,104,-74.005074,40.756439
101,-73.985764,40.759071,       ,105,-73.985764,40.759071
101,-73.989159,40.758324,       ,104,-73.989159,40.758324
101,-74.010742,40.709221,       ,101,-74.010742,40.709221
101,-74.01767,40.708115,       ,101,-74.01767,40.708115
101,-73.996819,40.737316,       ,102,-73.996819,40.737316
101,-74.003082,40.756207,       ,104,-74.003082,40.756207
101,-73.969582,40.757191,       ,106,-73.969582,40.757191
101,-73.978477,40.689945,       ,302,-73.978477,40.689945
101,-74.00621,40.741302,       ,102,-74.00621,40.741302
101,-74.008438,40.711613,       ,101,-74.008438,40.711613
101,-74.010239,40.732395,       ,102,-74.010239,40.732395
101,-74.007988,40.719208,       ,101,-74.007988,40.719208
101,-74.002151,40.724716,       ,102,-74.002151,40.724716
101,-74.000526,40.723869,       ,102,-74.000526,40.723869
101,-73.788185,40.64489,       ,483,-73.788185,40.64489
101,-73.986404,40.73457,       ,106,-73.986404,40.73457
101,-73.998573,40.734985,       ,102,-73.998573,40.734985
101,-73.952271,40.786469,       ,111,-73.952271,40.786469
101,-74.008545,40.743832,       ,104,-74.008545,40.743832
101,-73.863846,40.767712,       ,480,-73.863846,40.767712
101,-73.980026,40.657074,       ,307,-73.980026,40.657074
101,-73.995377,40.71516,       ,103,-73.995377,40.71516
101,-73.977089,40.726501,       ,103,-73.977089,40.726501
101,-73.983574,40.738071,       ,106,-73.983574,40.738071
101,-73.952271,40.825485,       ,109,-73.952271,40.825485
101,-73.999809,40.724422,       ,102,-73.999809,40.724422
101,-74.005157,40.730846,       ,102,-74.005157,40.730846
101,-73.994576,40.713734,       ,103,-73.994576,40.713734
101,-73.982979,40.76313,       ,105,-73.982979,40.76313
101,-73.986366,40.754608,       ,105,-73.986366,40.754608
101,-73.982513,40.721813,       ,103,-73.982513,40.721813
101,-74.009727,40.714802,       ,101,-74.009727,40.714802
101,-74.00869,40.719265,       ,101,-74.00869,40.719265
101,-73.953026,40.710846,       ,301,-73.953026,40.710846
